URLs,Class,Results
freebase.com/view/en/bob_sirois,good,0
en.wikipedia.org/wiki/Joie_Lee,good,0
pipl.com/directory/people/Rejean/Beaudin,good,0
flickr.com/photos/teneyck/sets/72157610336209297/,good,0
ussoccer.com/News/Federation-Services/2009/06/University-Of-Miami-President-Donna-E-Shalala-Joins-Team-To-Bring-FIFA-World-Cup-To-United-States-In.aspx,good,0
youtube.com/watch?v=wjQcuUyfMY0,good,0
westchurchballymena.org/,good,0
tv.yahoo.com/show/45343/castcrew,good,0
duckduckgo.com/1/c/Canadian_mathematicians,good,0
ossd.wikia.com/wiki/Category:Ahuntsic_College,good,0
brokeasaspoke.com/daily-dollars-november-6-thru-12/,good,0
jerseyshows.com/,good,0
books.google.com/books/about/Municipal_housecleaning.html?id=fggKAAAAIAAJ,good,0
trailsidegalleries.com/PopUp.cfm?inc=artists/showart.cfm&artid=7541&namefull=Andrew%20Peters&arttitle=Mount%20Rundle%20&%20Bow%20River,good,0
liquida.com/stu-lantz/,good,0
anthonysummers.bestbuyfoshoppingforsales.com/,good,0
alaska.net/~thomsen/d0031/g0000072.html,good,0
evri.com/person/matt-darby-0x39fee3,good,0
bothteamsplayedhard.net/2009/01/26/jalen-rose-and-jimmy-walker/,good,0
marathimovieworld.com/moviedetail/anolakhi-he-ghar-majhe.php,good,0
wagner.nyu.edu/faculty/schall.html,good,0
blog.sudeepaudio.com/?p=98,good,0
themontrealcanadians.com/bernie_geoffrion.htm,good,0
firedepartmentdirectory.com/location/County-Fire-Departments.aspx?state=Washington&county=Yakima,good,0
teenax.tv/free/movies/cory/everson.html,good,0
consciousmusicentertainment.biz/Skyler_Jett___Positive_Music_Association___.html,good,0
comingsoon.net/news/movienews.php?id=79284,good,0
badminton2008.com/938fhnr3?kqgqaEa=vSwtSiemz,bad,1
collegebasketball.rivals.com/content.asp?CID=1291236,good,0
imdb.com/name/nm0472595/,good,0
weather.uk.msn.com/region.aspx?wealocations=Northern%20Ireland,good,0
usidentify.com/l/boag,good,0
eagleeyestaffing.com/,good,0
beyondchron.org/news/index.php?itemid=3301,good,0
perfectpeople.net/celebrity-star/782/chris-benoit.htm,good,0
facebook.com/hubert.helene,good,0
tvtango.com/series/mullets,good,0
twitchfilm.com/interviews/2010/09/jacob-tierney-talks-good-neighbours.php,good,0
local.yahoo.com/info-24380767-hunt-marlene-house-of-insurance-le-center,good,0
montrealimpact.com/Team/Staff.aspx?language=EN&Category=2,good,0
resetblackberry.com/2010/12/reset-blackberry-curve-8520-smartphone.html,good,0
jewishinmontreal.com/YM---YWHA-Montreal-JCC-Ben-Weider-JCC.html,good,0
reunion.com/geoffreytate/,good,0
mphtadhci5mrdlju.tor2web.org/,bad,1
en.wikipedia.org/wiki/Big_12_Men%27s_Basketball_Tournament,good,0
the2012londonolympics.com/,good,0
buzzfeed.com/abrams/in-honor-of-john-lennons-birthday-heres,good,0
123people.ca/s/louis+guilbault,good,0
stocktradex.com/087gbdv4,bad,1
walterrosales.com/js/realbusiness/,bad,1
spoke.com/info/p8xDVuc/JohnBelisle,good,0
myhomemusic.net/,bad,1
joshspear.com/,good,0
vimeo.com/16325310,good,0
artbrokerage.com/artist/Edwin-Holgate,good,0
stationindex.com/tv/callsign/KCWE,good,0
aquatixbottle.com/vkZuz9,bad,1
mnalternatives.com/,good,0
canada.com/topics/sports/football/cfl/argonauts/index.html,good,0
impot-mailer.it/public/doc-freemobile/free/,bad,1
manta.com/c/mmn8cl0/universal-international,good,0
facebook.com/group.php?gid=10285796415,good,0
tastyteaz.com/l7nkod,bad,1
barkerscottgelfandandjames.blogspot.com/,good,0
photos.lucywho.com/virna-lisi-photos-t32681.html,good,0
filecrop.com/Jessica-Pare-vacances.html,good,0
zoominfo.com/people/Chyc_Ray_64206117.aspx,good,0
shiyunwuliu.com/lx2la,bad,1
moneyaisle.com/bank-browser/spring-valley-city-bank/,good,0
youngcuts.blogspot.com/2011/07/2011-youngcuts-film-festival-selection_19.html,good,0
manta.com/c/mmy2gqp/interstate-35-middle-school,good,0
assculturaleincontri.it/,bad,1
stretchfityoga.co.uk/c-nadukete/update-member.com-us.cgi-bin.webscr.cmd-login-submit/6da777217fe14a74058180b4ff611661/manage/83fc3/,bad,1
ipatten.web.arizona.edu/,good,0
eighthcircuitbar.com/directors.php,good,0
tvduck.com/Lewis-Black's-Root-of-All-Evil.html,good,0
omnikrom.pinkbike.com/,good,0
en.wikipedia.org/wiki/Nels_Stewart,good,0
boyssoccer2009.blogspot.com/,good,0
fredtheband.com/,good,0
lakelandtimes.com/main.asp?SectionID=10&SubSectionID=68&ArticleID=12802,good,0
hottestcelebrities2000.com/List_Start_V.html,good,0
afteryou.fr/oxineg,bad,1
ukdvdsonline.com/rare-british-films,good,0
vimeo.com/2987422,good,0
catholic-hierarchy.org/bishop/sage2.html,good,0
4megaupload.com/jayne-heitmeyer-topless.html,good,0
homefacts.com/Washington/Yakima-County/Yakima/communityinfo.html,good,0
moonbattracker.com/wp-mails/es/,bad,1
goldenox.com/history.php,good,0
bestcruisebuy.com/destinations/5/Fort-de-France__Martinique.html,good,0
brucedzenga.blogspot.com/2009/10/zimbabwean-platinum-mines.html,good,0
melungeonspicturealbum.blogspot.com/,good,0
diputacion.ardinova.com/wp-admin/images/screenshots/5716367236.txt,bad,1
masses.tao.ca/pipermail/act-mtl/2004-March/000153.html,good,0
oppapers.com/essays/Bajaj-Auto-Limited-Case-Study/224954,good,0
